year,day,obituaries
2017,04-16,21
2018,04-16,26
2019,04-16,21
2020,04-16,41
2015,04-17,30
2016,04-17,26
2017,04-17,25
2018,04-17,23
2019,04-17,27
2020,04-17,40
2015,04-18,27
2016,04-18,34
2017,04-18,19
2018,04-18,17
2019,04-18,26
2020,04-18,39
2015,04-19,20
2016,04-19,30
2017,04-19,16
2018,04-19,26
2019,04-19,15
2020,04-19,41
2015,04-20,34
2016,04-20,22
2017,04-20,18
2018,04-20,26
2019,04-20,24
2020,04-20,32
2015,04-21,21
2016,04-21,21
2017,04-21,30
2018,04-21,28
2019,04-21,22
2020,04-21,38
2015,04-22,27
2016,04-22,27
2017,04-22,32
2018,04-22,26
2019,04-22,21
2020,04-22,36
2015,04-23,27
2016,04-23,35
2017,04-23,22
2018,04-23,28
2019,04-23,26
2020,04-23,32
2015,04-24,14
2016,04-24,19
2017,04-24,13
2018,04-24,22
2019,04-24,19
2020,04-24,29
2015,04-25,20
2016,04-25,23
2017,04-25,29
2018,04-25,27
2019,04-25,19
2020,04-25,33
2015,04-26,18
2016,04-26,26
2017,04-26,26
2018,04-26,21
2019,04-26,23
2020,04-26,23
2015,04-27,27
2016,04-27,18
2017,04-27,30
2018,04-27,24
2019,04-27,19
2020,04-27,34
2015,04-28,28
2016,04-28,15
2017,04-28,23
2018,04-28,17
2019,04-28,14
2020,04-28,31
2015,04-29,20
2016,04-29,17
2017,04-29,17
2018,04-29,16
2019,04-29,17
2020,04-29,25
2015,04-30,22
2016,04-30,20
2017,04-30,24
2018,04-30,16
2019,04-30,22
2020,04-30,43
2015,05-01,22
2016,05-01,22
2017,05-01,24
2018,05-01,26
2019,05-01,27
2020,05-01,37
2015,05-02,21
2016,05-02,21
2017,05-02,23
2018,05-02,21
2019,05-02,27
2020,05-02,33
2015,05-03,20
2016,05-03,32
2017,05-03,20
2018,05-03,23
2019,05-03,31
2020,05-03,31
2015,05-04,24
2016,05-04,17
2017,05-04,22
2018,05-04,18
2019,05-04,18
2020,05-04,38
2015,05-05,29
2016,05-05,22
2017,05-05,19
2018,05-05,27
2019,05-05,20
2020,05-05,23
2015,05-06,16
2016,05-06,19
2017,05-06,18
2018,05-06,20
2019,05-06,26
2020,05-06,33
2015,05-07,20
2016,05-07,26
2017,05-07,22
2018,05-07,24
2019,05-07,18
2020,05-07,34
2015,05-08,33
2016,05-08,17
2017,05-08,22
2018,05-08,26
2019,05-08,33
2020,05-08,26
2015,05-09,19
2016,05-09,23
2017,05-09,25
2018,05-09,13
2019,05-09,22
2020,05-09,20
2015,05-10,14
2016,05-10,19
2017,05-10,26
2018,05-10,17
2019,05-10,28
2020,05-10,29
2015,05-11,19
2016,05-11,18
2017,05-11,21
2018,05-11,14
2019,05-11,14
2020,05-11,31
2015,05-12,26
2016,05-12,25
2017,05-12,26
2018,05-12,28
2019,05-12,17
2020,05-12,20
2015,05-13,23
2016,05-13,27
2017,05-13,19
2018,05-13,23
2019,05-13,16
2020,05-13,25
2015,05-14,23
2016,05-14,23
2017,05-14,19
2018,05-14,20
2019,05-14,22
2020,05-14,26
2015,05-15,18
2016,05-15,20
2017,05-15,23
2018,05-15,16
2019,05-15,25
2020,05-15,22
2015,05-16,24
2016,05-16,18
2017,05-16,21
2018,05-16,19
2019,05-16,24
2020,05-16,23
2015,05-17,26
2016,05-17,33
2017,05-17,29
2018,05-17,23
2019,05-17,23
2020,05-17,28
2015,05-18,19
2016,05-18,19
2017,05-18,24
2018,05-18,17
2019,05-18,22
2020,05-18,21
2015,05-19,22
2016,05-19,24
2017,05-19,27
2018,05-19,16
2019,05-19,17
2020,05-19,24
2015,05-20,22
2016,05-20,17
2017,05-20,24
2018,05-20,27
2019,05-20,20
2020,05-20,21
2015,05-21,23
2016,05-21,25
2017,05-21,20
2018,05-21,26
2019,05-21,26
2020,05-21,18
2015,05-22,24
2016,05-22,27
2017,05-22,24
2018,05-22,16
2019,05-22,26
2020,05-22,22
2015,05-23,23
2016,05-23,20
2017,05-23,28
2018,05-23,16
2019,05-23,24
2020,05-23,21
2015,05-24,19
2016,05-24,26
2017,05-24,24
2018,05-24,26
2019,05-24,25
2020,05-24,16
2015,05-25,24
2016,05-25,26
2017,05-25,28
2018,05-25,24
2019,05-25,30
2020,05-25,23
2015,05-26,31
2016,05-26,27
2017,05-26,23
2018,05-26,19
2019,05-26,24
2020,05-26,16
2015,05-27,26
2016,05-27,22
2017,05-27,24
2018,05-27,22
2019,05-27,28
2020,05-27,18
2015,05-28,18
2016,05-28,19
2017,05-28,28
2018,05-28,19
2019,05-28,29
2020,05-28,31
2015,05-29,24
2016,05-29,26
2017,05-29,22
2018,05-29,24
2019,05-29,13
2020,05-29,22
2015,05-30,32
2016,05-30,18
2017,05-30,26
2018,05-30,19
2019,05-30,24
2020,05-30,17
2015,05-31,17
2016,05-31,27
2017,05-31,19
2018,05-31,23
2019,05-31,14
2020,05-31,20
2016,06-01,null
2016,06-02,null
2016,06-03,null
2016,06-04,null
2016,06-05,null
2016,06-06,null
2016,06-07,null
2016,06-08,null
2016,06-09,null
2016,06-10,null
2016,06-11,null
2016,06-12,null
2016,06-13,null
2016,06-14,null
2016,06-15,null
2016,06-16,null
2016,06-17,null
2016,06-18,null
2016,06-19,null
2016,06-20,null
2016,06-21,null
2016,06-22,null
2016,06-23,null
2016,06-24,null
2016,06-25,null
2016,06-26,null
2016,06-27,null
2016,06-28,null
2016,06-29,null
2016,06-30,null
2016,07-01,null
2016,07-02,null
2016,07-03,null
2016,07-04,null
2016,07-05,null
2016,07-06,null
2016,07-07,null
2016,07-08,null
2016,07-09,null
2016,07-10,null
2016,07-11,null
2016,07-12,null
2016,07-13,null
2016,07-14,null
2016,07-15,null
2016,07-16,null
2016,07-17,null
2016,07-18,null
2016,07-19,null
2016,07-20,null
2016,07-21,null
2016,07-22,null
2016,07-23,null
2016,07-24,null
2016,07-25,null
2016,07-26,null
2016,07-27,null
2016,07-28,null
2016,07-29,null
2016,07-30,null
2016,07-31,null
2016,08-01,null
2016,08-02,null
2016,08-03,null
2016,08-04,null
2016,08-05,null
2016,08-06,null
2016,08-07,null
2016,08-08,null
2016,08-09,null
2016,08-10,null
2016,08-11,null
2016,08-12,null
2016,08-13,null
2016,08-14,null
2016,08-15,null
2016,08-16,null
2016,08-17,null
2016,08-18,null
2016,08-19,null
2016,08-20,null
2016,08-21,null
2016,08-22,null
2016,08-23,null
2016,08-24,null
2016,08-25,null
2016,08-26,null
2016,08-27,null
2016,08-28,null
2016,08-29,null
2016,08-30,null
2016,08-31,null
2016,09-01,null
2016,09-02,null
2016,09-03,null
2016,09-04,null
2016,09-05,null
2016,09-06,null
2016,09-07,null
2016,09-08,null
2016,09-09,null
2016,09-10,null
2016,09-11,null
2016,09-12,null
2016,09-13,null
2016,09-14,null
2016,09-15,null
2016,09-16,null
2016,09-17,null
2016,09-18,null
2016,09-19,null
2016,09-20,null
2016,09-21,null
2016,09-22,null
2016,09-23,null
2016,09-24,null
2016,09-25,null
2016,09-26,null
2016,09-27,null
2016,09-28,null
2016,09-29,null
2016,09-30,null
2016,10-01,null
2016,10-02,null
2016,10-03,null
2016,10-04,null
2016,10-05,null
2016,10-06,null
2016,10-07,null
2016,10-08,null
2016,10-09,null
2016,10-10,null
2016,10-11,null
2016,10-12,null
2016,10-13,null
2016,10-14,null
2016,10-15,null
2016,10-16,null
2016,10-17,null
2016,10-18,null
2016,10-19,null
2016,10-20,null
2016,10-21,null
2016,10-22,null
2016,10-23,null
2016,10-24,null
2016,10-25,null
2016,10-26,null
2016,10-27,null
2016,10-28,null
2016,10-29,null
2016,10-30,null
2016,10-31,null
2016,11-01,null
